"STATISTIC","Statistic","TLIST(A1)","Year","C02199V02655","Sex","C03111V03761","Type of Driving Licence","C03424V04122","Licensing Authority","UNIT","VALUE"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","-","All licensing authorities","Number","227197"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","01","Carlow","Number","3333"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","02","Dublin","Number","64618"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","03","Kildare","Number","10529"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","04","Kilkenny","Number","4698"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","05","Laois","Number","3926"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","06","Longford","Number","1975"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","07","Louth","Number","5729"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","08","Meath","Number","8320"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","09","Offaly","Number","3872"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","10","Westmeath","Number","4185"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","11","Wexford","Number","7177"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","12","Wicklow","Number","6552"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","13","Clare","Number","5016"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","14","Cork","Number","24077"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","15","Kerry","Number","6406"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","16","Limerick","Number","8432"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","17","Tipperary","Number","8359"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","18","Waterford","Number","5275"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","19","Galway","Number","11191"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","20","Leitrim","Number","1361"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","21","Mayo","Number","5547"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","22","Roscommon","Number","2661"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","23","Sligo","Number","2537"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","24","Cavan","Number","3685"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","25","Donegal","Number","6091"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","01","Learner permit","26","Monaghan","Number","2582"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","-","All licensing authorities","Number","2414393"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","01","Carlow","Number","32543"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","02","Dublin","Number","585835"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","03","Kildare","Number","110204"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","04","Kilkenny","Number","50544"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","05","Laois","Number","38520"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","06","Longford","Number","20564"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","07","Louth","Number","60424"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","08","Meath","Number","97192"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","09","Offaly","Number","39831"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","10","Westmeath","Number","45887"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","11","Wexford","Number","80271"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","12","Wicklow","Number","74518"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","13","Clare","Number","67553"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","14","Cork","Number","284697"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","15","Kerry","Number","83093"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","16","Limerick","Number","102890"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","17","Tipperary","Number","89039"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","18","Waterford","Number","61708"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","19","Galway","Number","138145"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","20","Leitrim","Number","18286"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","21","Mayo","Number","74122"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","22","Roscommon","Number","36569"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","23","Sligo","Number","37364"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","24","Cavan","Number","38585"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","25","Donegal","Number","88505"
"ROA25","Current Driving Licences","2013","2013","-","Both sexes","05","Full","26","Monaghan","Number","34830"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","-","All licensing authorities","Number","109727"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","01","Carlow","Number","1695"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","02","Dublin","Number","30272"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","03","Kildare","Number","4990"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","04","Kilkenny","Number","2271"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","05","Laois","Number","1794"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","06","Longford","Number","905"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","07","Louth","Number","2677"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","08","Meath","Number","3859"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","09","Offaly","Number","1928"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","10","Westmeath","Number","2045"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","11","Wexford","Number","3526"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","12","Wicklow","Number","3163"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","13","Clare","Number","2431"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","14","Cork","Number","12015"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","15","Kerry","Number","3197"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","16","Limerick","Number","4185"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","17","Tipperary","Number","4154"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","18","Waterford","Number","2562"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","19","Galway","Number","5521"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","20","Leitrim","Number","666"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","21","Mayo","Number","2745"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","22","Roscommon","Number","1289"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","23","Sligo","Number","1232"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","24","Cavan","Number","1773"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","25","Donegal","Number","3078"
